week,day,title,link,status,notes
14,41,Add PII redaction for logs and traces,,pending,
14,41,Document security posture in docs/security.md,,pending,
14,42,Run security-focused tests (auth failure, RBAC denial),,pending,
14,42,Commit & push security layer,,pending,
15,43,Add structured JSON logging (request, agents, decisions),,pending,
15,43,Add correlation IDs / trace IDs per request,,pending,
15,44,Integrate basic metrics (request count, latency, error rate),,pending,
15,44,Sketch Prometheus/Grafana integration in docs/observability.md,,pending,
15,45,Add tests/logs checks for observability behavior,,pending,
15,45,Commit & push observability layer,,pending,
16,46,Refine multi-agent orchestration (timeouts, retries),,pending,
16,46,Add configuration for agent timeouts and max retries,,pending,
16,47,Optimize prompts and reduce token usage where possible,,pending,
16,47,Run a small performance regression test and document results,,pending,
16,48,Commit & push performance and orchestration tweaks,,pending,
16,48,Plan next steps for ADK mapping (notes in PLAN.md),,pending,
17,49,Start ADK course (Deploy Multi-Agent Systems with ADK),https://www.skills.google/course_templates/1275,pending,
17,49,Take notes on ADK concepts (agents, tools, workflows),,pending,
17,50,Map existing agents to ADK YAML concepts,,pending,
17,50,Draft first ADK agent definition for Researcher,,pending,
17,51,Commit ADK prototype files under adk/agents,,pending,
17,51,Document differences between Python orchestration and ADK,,pending,
18,52,Define ADK specs for Critic, Policy-Checker, Summarizer,,pending,
18,52,Ensure ADK agents mirror Python agent responsibilities,,pending,
18,53,Design simple ADK workflow for Researcher → Summarizer,,pending,
18,53,Commit ADK workflows under adk/workflows,,pending,
18,54,Document ADK deployment assumptions (Vertex AI Agent Engine),,pending,
18,54,Commit & push ADK modeling updates,,pending,
19,55,OPTIONAL: Set up Vertex AI project for testing ADK flow,,pending,
19,55,Deploy a minimal ADK multi-agent flow (Researcher + Summarizer),,pending,
19,56,Test ADK flow with simple Q/A and compare to Python flow,,pending,
19,56,Document pros/cons of ADK vs custom orchestration,,pending,
19,57,Commit notes and configs for ADK experiment,,pending,
19,57,Decide on production direction (ADK vs custom) in PLAN.md,,pending,
20,58,Strengthen auth (JWT expiry, audience, issuer checks),,pending,
20,58,Harden RBAC rules and log access decisions,,pending,
20,59,Implement audit trail for agent-level decisions and overrides,,pending,
20,59,Add tests for audit trail and access logs,,pending,
20,60,Commit & push security hardening changes,,pending,
20,60,Update docs/security.md with threat model & mitigations,,pending,
21,61,Integrate OpenTelemetry tracing (or stubs),,pending,
21,61,Tag spans for each agent and significant tool call,,pending,
21,62,Add more granular metrics per agent and per tool,,pending,
21,62,Define alert rules (error rate, P95 latency) and document,,pending,
21,63,Commit observability hardening changes,,pending,
21,63,Update docs/observability.md with dashboards and alerts,,pending,
22,64,Define SLIs/SLOs (latency, availability, correctness),,pending,
22,64,Document behavior when vector DB is down,,pending,
22,65,Document behavior when LLM provider is unavailable or rate-limited,,pending,
22,65,Define process for policy drift and human override paths,,pending,
22,66,Update docs/edge-cases.md with new scenarios,,pending,
22,66,Commit & push SLO and edge-case documentation,,pending,
23,67,Write consolidated architecture doc (architecture.md),,pending,
23,67,Ensure diagrams (Mermaid) reflect current system,,pending,
23,68,Review all docs for consistency (agents, security, observability),,pending,
23,68,Tag a v0.1.0 release in Git,,pending,
23,69,Collect lessons learned and ideas for v0.2.0 in PLAN.md,,pending,
23,69,Commit documentation and release notes,,pending,
24,70,Finalize any open TODOs in code (FIXME/TODO comments),,pending,
24,70,Run full test suite and ensure CI is green,,pending,
24,71,Do a final cleanup pass on repo structure and naming,,pending,
24,71,Share project summary (internal doc or blog-style writeup),,pending,
24,72,Reflect on skills gained (RAG, agents, ADK) in personal notes,,pending,
24,72,Plan next project phase (productionization, new features),,pending,
